,county,TOTAL DOLLAR AMOUNT OF CLAIMS
684,St. Joseph,35740364.45
685,Carroll,518333.09
686,White,518333.09
687,Noble,2636475.56
688,Kosciusko,2636475.56
689,Pulaski,11072891.39
690,White,11072891.39
691,Warren,5186836.2
692,Greene,2711427.29
693,Allen,24648964.17
694,Putnam,1482587.01
695,Wells,408996.33
696,Hendricks,22993217.89
697,Hamilton,9861843.98
698,Knox,396301.38
699,Boone,2152781.01
700,LaPorte,1898905.84
701,Gibson,1031142.36
702,Kosciusko,2342133.5
703,Washington,818400.91
704,Jackson,818400.91
705,Scott,11923626.24
706,Jackson,11923626.24
707,Benton,351409.36
708,Newton,351409.36
709,Carroll,972347.6
710,Lake,3294115.82
711,Vanderburgh,1345866.29
712,Harrison,2289116.04
713,Floyd,2289116.04
714,Clark,57973595.5
715,Cass,1671147.79
716,Pulaski,1671147.79
717,White,1671147.79
718,Hancock,2146280.11
719,Henry,2146280.11
720,Tippecanoe,38768961.4
721,Miami,2221229.52
722,Kosciusko,2221229.52
723,Fulton,2221229.52
724,Lake,30680712.27
725,Brown,45367625.47
726,Bartholomew,45367625.47
727,Montgomery,319964.15
728,Clark,5420861.95
729,Washington,5420861.95
730,Floyd,5420861.95
731,DeKalb,6755169.54
732,Vanderburgh,4760974.49
733,Gibson,4760974.49
734,Adams,8283675.72
735,Sullivan,2648203.73
736,Jennings,1707847.49
737,Jefferson,1707847.49
738,Washington,2205496.52
739,Orange,2205496.52
740,Vanderburgh,32098529.91
741,Benton,355886.74
742,Warren,355886.74
743,Putnam,3045795.05
744,Clay,3045795.05
745,Owen,3045795.05
746,Adams,18489547.98
747,Wells,18489547.98
748,Pulaski,4959791.64
749,Starke,4959791.64
750,Fulton,4959791.64
751,Marshall,4959791.64
752,Pulaski,2197436.46
753,Jasper,2197436.46
754,Madison,7221912.88
755,Carroll,2140425.63
756,Tippecanoe,2140425.63
757,White,2140425.63
758,Monroe,48076582.25
759,Lawrence,48076582.25
760,Perry,949901.21
761,Spencer,949901.21
762,Marion,34004639.75
763,Allen,2967906.26
764,Bartholomew,26813753.54
765,Harrison,1852401.98
766,Floyd,1852401.98
767,Elkhart,5233884.33
768,Kosciusko,5233884.33
769,St. Joseph,5233884.33
770,Marshall,5233884.33
771,Ripley,7425022.71
772,Dearborn,7425022.71
773,Delaware,1953402.36
774,Washington,1848143.59
